ticker,company_name,sector,industry,fin_currency,country,market_cap,acquirer_multiple,earning_yield_p,pe_ttm,ev,ev_calc,gross_margin_p,net_margin_p,roe_p,roa_p,roc_p,pb,operating_income,ebit,net_income,total_assets,cash,total_liabilities,shareholders_equity,preferred_stock_equity,minority_interest,total_capitalization,total_debt,working_capital
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USD,United States,38254600192,29.184889031111112,0.03639630841460088,31.159904,39563616256,39399600192.0,0.5071,0.18146999,0.22242,0.08253,0.35912847483095417,6.5250635,1350000000.0,1434000000.0,1240000000.0,10763000000.0,1590000000.0,4918000000.0,5845000000.0,0.0,0.0,8580000000.0,2735000000.0,2583000000.0
AA,Alcoa Corporation,Basic Materials,Aluminum,USD,United States,5734305792,,,,8243302400,8201305792.0,0.06601,-0.08438,-0.1488,-0.013839999,,1.2717701,-241000000.0,-621000000.0,-875000000.0,13917000000.0,926000000.0,7825000000.0,4509000000.0,0.0,1583000000.0,6318000000.0,1810000000.0,1741000000.0
AAC,Ares Acquisition Corporation,Financial Services,Shell Companies,USD,United States,761820416,,,,770177984,770178407.0,0.0,0.0,,-0.01222,,,-14081588.0,-14081588.0,-18172265.0,492175600.0,56295.0,84885871.0,407289729.0,0.0,0.0,407289729.0,8414286.0,-23519175.0
AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,CNY,China,34855556,,,,33621924,29796020.245908663,0.50751,-0.18563,-0.32923,-0.060879998,,0.3355502,-6408928.69851538,-6408928.69851538,-5636154.05145012,65372627.09235648,9184473.80338344,50858875.2836921,14564574.89530308,0.0,-50823.0866387,14564574.89530308,4175761.1359308,-262339146.0
AACI,Armada Acquisition Corp. I,Financial Services,Shell Companies,USD,United States,87509696,,,,90013840,90013851.0,0.0,0.0,,-0.01975,,,-2789126.0,-2789126.0,-320150.0,25417917.0,60284.0,8587123.0,16830794.0,0.0,0.0,16830794.0,2564439.0,-8493234.0
AACIW,Armada Acquisition Corp. I Warrant,Financial Services,Shell Companies,USD,United States,0,,,,,2504155.0,0.0,0.0,,-0.01975,,5.0,-2789126.0,-2789126.0,-320150.0,25417917.0,60284.0,8587123.0,16830794.0,0.0,0.0,16830794.0,2564439.0,-8493234.0
AACT,Ares Acquisition Corporation II,Financial Services,Shell Companies,USD,United States,655000000,,,65.5,657745536,657745507.0,0.0,0.0,,,,,-692682.0,-692682.0,9964612.0,518547121.0,2254493.0,22822511.0,495724610.0,0.0,0.0,500724610.0,5000000.0,2567316.0
AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,USD,United States,43165584,,,,-74800488,-74800416.0,-1.04838,-2.72668,-0.44140998,-0.26101,,0.36522102,-69689000.0,-63186000.0,-63408000.0,139659000.0,119335000.0,21463000.0,118196000.0,0.0,0.0,118196000.0,1369000.0,112367000.0
AAIC,Arlington Asset Investment Corp,Real Estate,REIT - Mortgage,USD,United States,137081872,25.79451718357083,0.03876792858278134,,180116992,246182872.0,0.96058,0.02224,0.00199,0.00044,0.0223668977412808,0.760289,9544000.0,,426000.0,867258000.0,10524000.0,653907000.0,213351000.0,32821000.0,0.0,300155000.0,86804000.0,213351000.0
AAL,"American Airlines Group, Inc.",Industrials,Airlines,USD,United States,8888158208,8.358611848529723,0.107767025648412,5.6903763,39511150592,39511158208.0,0.27462998,0.030350002,,0.04601,-0.22467285774588433,,4727000000.0,4258000000.0,1606000000.0,65711000000.0,10582000000.0,70847000000.0,-5136000000.0,0.0,0.0,24586000000.0,41205000000.0,-7672000000.0
